      8.77611      8.29982      6.37458      0.00000      0.00000
      28     300      2.61806      61.0000      29.2000     -67.2000
      120.000      128.300      1399.55       2      53.4985      163.494
      8.78739      7.74831      6.19685      0.00000      0.00000
      30     300      2.81889      61.1000      27.3000     -64.6000
      122.000      125.700      1573.25       2      53.4985      163.494
      8.79919      7.52262      6.24800      0.00000      0.00000
      32     300      3.01972      61.0000      25.4000     -61.9000
      124.000      122.900      1750.33       2      53.4985      163.494
      8.81137      6.89096      6.29979      0.00000      0.00000
      35     300      3.40139      60.2000      21.7000     -56.5000
      127.600      116.700      2089.07       2      53.4985      163.494
      8.83547      6.11011      6.78656      0.00000      0.00000
      37     300      3.58972      59.4000      19.9000     -53.6000
      129.300      113.000      2253.95       2      53.4985      163.494
      8.84778      5.97671      6.23618      0.00000      0.00000
      39     300      3.78528      58.2000      18.1000     -50.5000
      130.900      108.700      2421.34       2      53.4985      163.494
      8.86081      5.71732      5.90753      0.00000      0.00000
      42     600      4.10111      55.1000      15.2000     -45.1000
      133.500      100.200      2679.35       2      53.4985      163.494
      8.88235      5.50420      5.73341      0.00000      0.00000
      44     600      4.30250      52.0000      13.4000     -41.5000
      135.000      93.4000      2833.40       1      53.4985      163.494
      8.89636      5.01224      5.73489      0.00000      0.00000
      47     600      4.66806      33.6000      19.0000     -34.4000
      137.500      68.0000      2808.94       2      53.4891      148.482
      4.38160      5.10101      6.08253      0.00000      0.00000
      49     600      4.86861      30.0000      17.9000     -30.3000
      138.600      60.4000      2910.55       2      53.4891      148.482
      4.39341      5.27417      6.10816      0.00000      0.00000
      51     600      5.06889      25.9000      16.9000     -26.0000
      139.700      51.9000      2999.36       2      53.4891      148.482
      4.40535      5.07666      5.94536      0.00000      0.00000
      55     600      5.65222      141.500      33.2000     -12.7000
      141.800      154.200      12552.2       3      72.9635      255.730
     -6.59176      2.54857      5.66799      0.00000      0.00000
      57     600      5.95306      148.900      31.3000     -5.40000
      142.300      154.300      12081.0       3      72.9635      255.730
     -6.56082      2.59672      5.28237      0.00000      0.00000
      59     600      6.23500      156.500      29.9000      1.50000
      142.400      155.000      11570.3       2      72.9635      255.730
     -6.53131      2.59450      4.80159      0.00000      0.00000
      60     600      6.54028      165.300      28.8000      8.90000
      142.100      156.400      10949.5       2      72.9635      255.730
     -6.49893      2.76255      5.59159      0.00000      0.00000
      63     600      6.93528      177.300      28.1000      18.3000
      141.100      159.000      10056.1       2      72.9635      255.730
     -6.45668      2.86946      5.08924      0.00000      0.00000
